type	publication_id	year	journal	title	authors	publish_date	citation_count	citation_count_category	relative_citation_ratio	rcr_range	nih_percentile	doi	project.queried_project_id
publication	30255377	2018	Diabetologia	Silencing of high-affinity insulin-reactive B lymphocytes by anergy and impact of the NOD genetic background in mice.	Mia J Smith, Rochelle M Hinman, Andrew Getahun, Soojin Kim, Thomas A Packard, John C Cambier	1-Dec-2018	8	5 to 9	0.43	0.2 to 0.5	23.3	10.1007/s00125-018-4730-z	R01AI124487
publication	30259383	2019	Am J Clin Dermatol	Mechanisms of Resistance to Immune Checkpoint Blockade.	David Liu, Russell W Jenkins, Ryan J Sullivan	1-Feb-2019	39	>=20	3.22	2 to 5	86.8	10.1007/s40257-018-0389-y	U54CA224068
publication	30262473	2018	Science	Comment on "DNA damage is a pervasive cause of sequencing errors, directly confounding variant identification".	Chip Stewart, Ignaty Leshchiner, Julian Hess, Gad Getz	28-Sep-2018	1	<=4	0.04	< 0.2	2.4	10.1126/science.aas9824	U24CA210999
publication	30265680	2018	PLoS One	Integrating the skin and blood transcriptomes and serum proteome in hidradenitis suppurativa reveals complement dysregulation and a plasma cell signature.	Lauren K Hoffman, Lewis E Tomalin, Gregory Schultz, Michael D Howell, Niroshana Anandasabapathy, Afsaneh Alavi, Mayte Suárez-Fariñas, Michelle A Lowes	28-Sep-2018	34	>=20	3.42	2 to 5	88	10.1371/journal.pone.0203672	R01AR070234
publication	30266775	2018	Blood	Increased risk of colon cancer and osteogenic sarcoma in Diamond-Blackfan anemia.	Adrianna Vlachos, Philip S Rosenberg, Eva Atsidaftos, Jessica Kang, Kenan Onel, Ravi N Sharaf, Blanche P Alter, Jeffrey M Lipton	15-Nov-2018	35	>=20	2.47	2 to 5	80.8	10.1182/blood-2018-05-848937	R01CA211723
publication	30266823	2018	Blood Adv	Inhibition of MEK and ATR is effective in a B-cell acute lymphoblastic leukemia model driven by Mll-Af4 and activated Ras.	S Haihua Chu, Evelyn J Song, Jonathan R Chabon, Janna Minehart, Chloe N Matovina, Jessica L Makofske, Elizabeth S Frank, Kenneth Ross, Richard P Koche, Zhaohui Feng, Haiming Xu, Andrei Krivtsov, Andre Nussenzweig, Scott A Armstrong	9-Oct-2018	4	<=4	0.21	0.2 to 0.5	10.7	10.1182/bloodadvances.2018021592	R01CA176745
publication	30266942	2018	Nat Commun	Systems biology approach reveals a link between mTORC1 and G2/M DNA damage checkpoint recovery.	Hui-Ju Hsieh, Wei Zhang, Shu-Hong Lin, Wen-Hao Yang, Jun-Zhong Wang, Jianfeng Shen, Yiran Zhang, Yiling Lu, Hua Wang, Jane Yu, Gordon B Mills, Guang Peng	28-Sep-2018	12	10 to 14	0.74	0.5 to 0.8	39.3	10.1038/s41467-018-05639-x	P50CA098258
publication	30267062	2019	JAMA Surg	Radioguided Surgery With Gallium for Neuroendocrine Tumors.	James R Howe	1-Jan-2019	2	<=4	0.31	0.2 to 0.5	16.5	10.1001/jamasurg.2018.3480	P50CA174521
publication	30268657	2019	Eur Urol	Is Androgen Deprivation Therapy "Another Deficient Therapy" for Gleason Score 9-10 Prostate Cancer?	Matthew P Deek, Ryan M Phillips, Michael Haffner, Phuoc T Tran	1-Jan-2019	1	<=4	0.07	< 0.2	3.8	10.1016/j.eururo.2018.09.027	U01CA231776
publication	30268942	2018	Neoplasia	MiPanda: A Resource for Analyzing and Visualizing Next-Generation Sequencing Transcriptomics Data.	Yashar S Niknafs, Balaji Pandian, Tilak Gajjar, Zach Gaudette, Kevin Wheelock, Mitra P Maz, Rohan K Achar, Melinda Song, Cory Massaro, Xuhong Cao, Arul M Chinnaiyan	1-Nov-2018	9	5 to 9	0.49	0.2 to 0.5	26.6	10.1016/j.neo.2018.09.001	P50CA186786
publication	30269481	2018	Anal Chem	Proteome Profiling of 1 to 5 Spiked Circulating Tumor Cells Isolated from Whole Blood Using Immunodensity Enrichment, Laser Capture Microdissection, Nanodroplet Sample Processing, and Ultrasensitive nanoLC-MS.	Ying Zhu, Jennifer Podolak, Rui Zhao, Anil K Shukla, Ronald J Moore, George V Thomas, Ryan T Kelly	16-Oct-2018	28	>=20	2.34	2 to 5	79.5	10.1021/acs.analchem.8b03268	R33CA225248
publication	30275515	2018	Nat Rev Clin Oncol	Therapeutic strategies to target RAS-mutant cancers.	Meagan B Ryan, Ryan B Corcoran	1-Nov-2018	94	>=20	5.37	> 5	94.2	10.1038/s41571-018-0105-0	U54CA224068
publication	30275568	2018	Nat Med	Induction of resistance to chimeric antigen receptor T cell therapy by transduction of a single leukemic B cell.	Marco Ruella, Jun Xu, David M Barrett, Joseph A Fraietta, Tyler J Reich, David E Ambrose, Michael Klichinsky, Olga Shestova, Prachi R Patel, Irina Kulikovskaya, Farzana Nazimuddin, Vijay G Bhoj, Elena J Orlando, Terry J Fry, Hans Bitter, Shannon L Maude, Bruce L Levine, Christopher L Nobles, Frederic D Bushman, Regina M Young, John Scholler, Saar I Gill, Carl H June, Stephan A Grupp, Simon F Lacey, J Joseph Melenhorst	1-Oct-2018	224	>=20	14.78	> 5	99.1	10.1038/s41591-018-0201-9	P01CA214278
publication	30276358	2018	Curr Opin Biomed Eng	Biomechanical forces in tissue engineered tumor models.	Letitia K Chim, Antonios G Mikos	1-Jun-2018	8	5 to 9	0.71	0.5 to 0.8	37.7	10.1016/j.cobme.2018.03.004	R01CA180279
publication	30276588	2019	J Gastrointest Surg	The Prognostic Impact of KRAS Mutation in Patients Having Curative Resection of Synchronous Colorectal Liver Metastases.	Paolo Goffredo, Alan F Utria, Anna C Beck, Yun Shin Chun, James R Howe, Ronald J Weigel, Jean-Nicolas Vauthey, Imran Hassan	1-Oct-2019	12	10 to 14	1.56	1.25 to 2	66.7	10.1007/s11605-018-3978-4	P50CA174521
publication	30279194	2018	Cancer Discov	Blood-Based Prediction of Tumor Relapse: The cfDNA Forecast.	Giulia Siravegna, Ryan B Corcoran	1-Oct-2018	2	<=4	0.1	< 0.2	5.1	10.1158/2159-8290.CD-18-0952	U54CA224068
publication	30279971	2018	Oncotarget	Inhibition of interleukin-1 receptor-associated kinase 1 (IRAK1) as a therapeutic strategy.	Jack W Singer, Angela Fleischman, Suliman Al-Fayoumi, John O Mascarenhas, Qiang Yu, Anupriya Agarwal	7-Sep-2018	46	>=20	3.46	2 to 5	88.2	10.18632/oncotarget.26058	U54CA224019
publication	30282750	2018	J Immunol	B Cell-Intrinsic STING Signaling Triggers Cell Activation, Synergizes with B Cell Receptor Signals, and Promotes Antibody Responses.	Melissa M Walker, Bergren W Crute, John C Cambier, Andrew Getahun	1-Nov-2018	18	15 to 19	0.98	0.8 to 1.25	49.6	10.4049/jimmunol.1701405	R01AI124487
publication	30285852	2018	J Immunother Cancer	Multidimensional, quantitative assessment of PD-1/PD-L1 expression in patients with Merkel cell carcinoma and association with response to pembrolizumab.	Nicolas A Giraldo, Peter Nguyen, Elizabeth L Engle, Genevieve J Kaunitz, Tricia R Cottrell, Sneha Berry, Benjamin Green, Abha Soni, Jonathan D Cuda, Julie E Stein, Joel C Sunshine, Farah Succaria, Haiying Xu, Aleksandra Ogurtsova, Ludmila Danilova, Candice D Church, Natalie J Miller, Steve Fling, Lisa Lundgren, Nirasha Ramchurren, Jennifer H Yearley, Evan J Lipson, Mac Cheever, Robert A Anders, Paul T Nghiem, Suzanne L Topalian, Janis M Taube	1-Oct-2018	63	>=20	4.17	2 to 5	91.1	10.1186/s40425-018-0404-0	UM1CA154967
publication	30285995	2018	Am J Surg Pathol	VSTM2A Overexpression Is a Sensitive and Specific Biomarker for Mucinous Tubular and Spindle Cell Carcinoma (MTSCC) of the Kidney.	Lisha Wang, Yuping Zhang, Ying-Bei Chen, Stephanie L Skala, Hikmat A Al-Ahmadie, Xiaoming Wang, Xuhong Cao, Brendan A Veeneman, Jin Chen, Marcin Cieślik, Yuanyuan Qiao, Fengyun Su, Pankaj Vats, Javed Siddiqui, Hong Xiao, Evita T Sadimin, Jonathan I Epstein, Ming Zhou, Ankur R Sangoi, Kiril Trpkov, Adeboye O Osunkoya, Giovanna A Giannico, Jesse K McKenney, Pedram Argani, Satish K Tickoo, Victor E Reuter, Arul M Chinnaiyan, Saravana M Dhanasekaran, Rohit Mehra	1-Dec-2018	16	15 to 19	1.29	1.25 to 2	59.9	10.1097/PAS.0000000000001150	P50CA186786
publication	30287548	2019	Clin Cancer Res	Arrested Developments: CDK4/6 Inhibitor Resistance and Alterations in the Tumor Immune Microenvironment.	Jessica L F Teh, Andrew E Aplin	1-Feb-2019	37	>=20	2.95	2 to 5	85	10.1158/1078-0432.CCR-18-1967	R01CA160495
publication	30287923	2019	Genet Med	Standard operating procedure for somatic variant refinement of sequencing data with paired tumor and normal samples.	Erica K Barnell, Peter Ronning, Katie M Campbell, Kilannin Krysiak, Benjamin J Ainscough, Lana M Sheta, Shahil P Pema, Alina D Schmidt, Megan Richters, Kelsy C Cotto, Arpad M Danos, Cody Ramirez, Zachary L Skidmore, Nicholas C Spies, Jasreet Hundal, Malik S Sediqzad, Jason Kunisaki, Felicia Gomez, Lee Trani, Matthew Matlock, Alex H Wagner, S Joshua Swamidass, Malachi Griffith, Obi L Griffith	1-Apr-2019	27	>=20	1.92	1.25 to 2	73.6	10.1038/s41436-018-0278-z	U01CA209936
publication	30291194	2019	J Nucl Med	Efficacy and Safety of High-Specific-Activity 131I-MIBG Therapy in Patients with Advanced Pheochromocytoma or Paraganglioma.	Daniel A Pryma, Bennett B Chin, Richard B Noto, Joseph S Dillon, Stephanie Perkins, Lilja Solnes, Lale Kostakoglu, Aldo N Serafini, Miguel H Pampaloni, Jessica Jensen, Thomas Armor, Tess Lin, Theresa White, Nancy Stambler, Stuart Apfel, Vincent A DiPippo, Syed Mahmood, Vivien Wong, Camilo Jimenez	1-May-2019	66	>=20	9.3	> 5	97.8	10.2967/jnumed.118.217463	P50CA174521
publication	30291344	2019	Mod Pathol	Identification of a subset of microsatellite-stable endometrial carcinoma with high PD-L1 and CD8+ lymphocytes.	Suzanne Crumley, Katherine Kurnit, Courtney Hudgens, Bryan Fellman, Michael T Tetzlaff, Russell Broaddus	1-Mar-2019	21	>=20	1.71	1.25 to 2	69.8	10.1038/s41379-018-0148-x	P50CA098258
publication	30291535	2018	Med Oncol	Association of ERG/PTEN status with biochemical recurrence after radical prostatectomy for clinically localized prostate cancer.	Rohit Mehra, Simpa S Salami, Robert Lonigro, Ritu Bhalla, Javed Siddiqui, Xuhong Cao, Daniel E Spratt, Ganesh S Palapattu, Nallasivam Palanisamy, John T Wei, Arul M Chinnaiyan, Scott A Tomlins	5-Oct-2018	10	10 to 14	0.82	0.8 to 1.25	42.9	10.1007/s12032-018-1212-6	P50CA186786
publication	30295032	2018	J Proteome Res	ProteomeGenerator: A Framework for Comprehensive Proteomics Based on de Novo Transcriptome Assembly and High-Accuracy Peptide Mass Spectral Matching.	Paolo Cifani, Avantika Dhabaria, Zining Chen, Akihide Yoshimi, Emily Kawaler, Omar Abdel-Wahab, John T Poirier, Alex Kentsis	2-Nov-2018	11	10 to 14	0.85	0.8 to 1.25	44.2	10.1021/acs.jproteome.8b00295	R01CA204396
publication	30296434	2019	Gastroenterology	Serologic Response to Helicobacter pylori Proteins Associated With Risk of Colorectal Cancer Among Diverse Populations in the United States.	Julia Butt, Matthew G Varga, William J Blot, Lauren Teras, Kala Visvanathan, Loïc Le Marchand, Christopher Haiman, Yu Chen, Ying Bao, Howard D Sesso, Sylvia Wassertheil-Smoller, Gloria Y F Ho, Lesley E Tinker, Richard M Peek, John D Potter, Timothy L Cover, Laura H Hendrix, Li-Ching Huang, Terry Hyslop, Caroline Um, Francine Grodstein, Mingyang Song, Anne Zeleniuch-Jacquotte, Sonja Berndt, Allan Hildesheim, Tim Waterboer, Michael Pawlita, Meira Epplein	1-Jan-2019	45	>=20	4.87	2 to 5	93.1	10.1053/j.gastro.2018.09.054	U01CA164973
publication	30297358	2019	Cancer Discov	Suppression of STING Associated with LKB1 Loss in KRAS-Driven Lung Cancer.	Shunsuke Kitajima, Elena Ivanova, Sujuan Guo, Ryohei Yoshida, Marco Campisi, Shriram K Sundararaman, Shoichiro Tange, Yoichiro Mitsuishi, Tran C Thai, Sayuri Masuda, Brandon P Piel, Lynette M Sholl, Paul T Kirschmeier, Cloud P Paweletz, Hideo Watanabe, Mamiko Yajima, David A Barbie	1-Jan-2019	116	>=20	8.22	> 5	97.2	10.1158/2159-8290.CD-18-0689	P01CA154303
publication	30297703	2018	Nat Commun	Biosynthetic energy cost for amino acids decreases in cancer evolution.	Hong Zhang, Yirong Wang, Jun Li, Han Chen, Xionglei He, Huiwen Zhang, Han Liang, Jian Lu	8-Oct-2018	12	10 to 14	0.65	0.5 to 0.8	35.2	10.1038/s41467-018-06461-1	U24CA209851
publication	30297783	2018	Sci Rep	Personalized Integrated Network Modeling of the Cancer Proteome Atlas.	Min Jin Ha, Sayantan Banerjee, Rehan Akbani, Han Liang, Gordon B Mills, Kim-Anh Do, Veerabhadran Baladandayuthapani	8-Oct-2018	5	5 to 9	0.23	0.2 to 0.5	11.6	10.1038/s41598-018-32682-x	U24CA209851
publication	30297899	2018	Nat Med	Late-stage tumors induce anemia and immunosuppressive extramedullary erythroid progenitor cells.	Lintao Zhao, Ran He, Haixia Long, Bo Guo, Qingzhu Jia, Diyuan Qin, Si-Qi Liu, Zhongyu Wang, Tong Xiang, Jue Zhang, Yulong Tan, Jiani Huang, Junying Chen, Fang Wang, Minglu Xiao, Jianbao Gao, Xinxin Yang, Hao Zeng, Xinxin Wang, Chunyan Hu, Peter B Alexander, Alistair L J Symonds, Jia Yu, Yisong Wan, Qi-Jing Li, Lilin Ye, Bo Zhu	1-Oct-2018	42	>=20	2.33	2 to 5	79.3	10.1038/s41591-018-0205-5	R33CA225328
publication	30300578	2018	Cancer Cell	Integrated Analysis of Genetic Ancestry and Genomic Alterations across Cancers.	Jiao Yuan, Zhongyi Hu, Brandon A Mahal, Sihai D Zhao, Kevin H Kensler, Jingjiang Pi, Xiaowen Hu, Youyou Zhang, Yueying Wang, Junjie Jiang, Chunsheng Li, Xiaomin Zhong, Kathleen T Montone, Guoqiang Guan, Janos L Tanyi, Yi Fan, Xiaowei Xu, Mark A Morgan, Meixiao Long, Yuzhen Zhang, Rugang Zhang, Anil K Sood, Timothy R Rebbeck, Chi V Dang, Lin Zhang	8-Oct-2018	63	>=20	3.7	2 to 5	89.3	10.1016/j.ccell.2018.08.019	P50CA098258
publication	30301882	2018	Blood Cancer J	Role of apurinic/apyrimidinic nucleases in the regulation of homologous recombination in myeloma: mechanisms and translational significance.	Subodh Kumar, Srikanth Talluri, Jagannath Pal, Xiaoli Yuan, Renquan Lu, Puru Nanjappa, Mehmet K Samur, Nikhil C Munshi, Masood A Shammas	25-Sep-2018	21	>=20	1.33	1.25 to 2	60.9	10.1038/s41408-018-0129-9	P01CA155258
publication	30302932	2018	Am J Med Genet A	Proceedings of the fifth international RASopathies symposium: When development and cancer intersect.	Katherine A Rauen, Lisa Schoyer, Lisa Schill, Beth Stronach, John Albeck, Brage S Andresen, Hélène Cavé, Michelle Ellis, Steven M Fruchtman, Bruce D Gelb, Christopher C Gibson, Karen Gripp, Erin Hefner, William Y C Huang, Maxim Itkin, Bronwyn Kerr, Corinne M Linardic, Martin McMahon, Beverly Oberlander, Ethan Perlstein, Nancy Ratner, Leslie Rogers, Annette Schenck, Suma Shankar, Stanislav Shvartsman, David A Stevenson, Edward C Stites, Philip J S Stork, Cheng Sun, Marc Therrien, Erik M Ullian, Brigitte C Widemann, Erika Yeh, Giuseppe Zampino, Martin Zenker, William Timmer, Frank McCormick	1-Dec-2018	5	5 to 9	0.26	0.2 to 0.5	13.2	10.1002/ajmg.a.40632	R01CA131261
publication	30311370	2018	Hum Mutat	Adapting crowdsourced clinical cancer curation in CIViC to the ClinGen minimum variant level data community-driven standards.	Arpad M Danos, Deborah I Ritter, Alex H Wagner, Kilannin Krysiak, Dmitriy Sonkin, Christine Micheel, Matthew McCoy, Shruti Rao, Gordana Raca, Simina M Boca, Angshumoy Roy, Erica K Barnell, Joshua F McMichael, Susanna Kiwala, Adam C Coffman, Lynzey Kujan, Shashikant Kulkarni, Malachi Griffith, Subha Madhavan, Obi L Griffith	1-Nov-2018	6	5 to 9	0.38	0.2 to 0.5	20.3	10.1002/humu.23651	U01CA209936
publication	30311370	2018	Hum Mutat	Adapting crowdsourced clinical cancer curation in CIViC to the ClinGen minimum variant level data community-driven standards.	Arpad M Danos, Deborah I Ritter, Alex H Wagner, Kilannin Krysiak, Dmitriy Sonkin, Christine Micheel, Matthew McCoy, Shruti Rao, Gordana Raca, Simina M Boca, Angshumoy Roy, Erica K Barnell, Joshua F McMichael, Susanna Kiwala, Adam C Coffman, Lynzey Kujan, Shashikant Kulkarni, Malachi Griffith, Subha Madhavan, Obi L Griffith	1-Nov-2018	6	5 to 9	0.38	0.2 to 0.5	20.3	10.1002/humu.23651	R21CA220398
publication	30312421	2019	J Natl Cancer Inst	Strategies to Identify and Target Cells of Origin in Prostate Cancer.	Wouter R Karthaus, Charles L Sawyers	1-Mar-2019	1	<=4	0.07	< 0.2	3.8	10.1093/jnci/djy146	U54CA224079
publication	30315238	2018	Leukemia	CAR T-cells for T-cell malignancies: challenges in distinguishing between therapeutic, normal, and neoplastic T-cells.	Marion Alcantara, Melania Tesio, Carl H June, Roch Houot	1-Nov-2018	38	>=20	2.43	2 to 5	80.4	10.1038/s41375-018-0285-8	P01CA214278
publication	30315273	2019	Mod Pathol	Targeted next-generation sequencing of endometrial cancer and matched circulating tumor DNA: identification of plasma-based, tumor-associated mutations in early stage patients.	Ana M Bolivar, Rajyalakshmi Luthra, Meenakshi Mehrotra, Wei Chen, Bedia A Barkoh, Peter Hu, Wei Zhang, Russell R Broaddus	1-Mar-2019	21	>=20	2.06	2 to 5	75.8	10.1038/s41379-018-0158-8	P50CA098258
publication	30317410	2018	Curr Hematol Malig Rep	Novel Immunotherapies for T Cell Lymphoma and Leukemia.	Paola Ghione, Alison J Moskowitz, Nadia E K De Paola, Steven M Horwitz, Marco Ruella	1-Dec-2018	13	10 to 14	0.98	0.8 to 1.25	49.4	10.1007/s11899-018-0480-8	P01CA214278
publication	30318110	2018	Semin Oncol	Metastatic neuroendocrine tumors of the gastrointestinal tract and pancreas: A surgeon's plea to centering attention on the liver.	Xavier M Keutgen, Erik Schadde, Rodney F Pommier, Thorvardur R Halfdanarson, James R Howe, Electron Kebebew	1-Aug-2018	9	5 to 9	0.78	0.5 to 0.8	41.3	10.1053/j.seminoncol.2018.07.002	P50CA174521
publication	30318516	2018	Br J Cancer	A phase I trial of pembrolizumab with hypofractionated radiotherapy in patients with metastatic solid tumours.	Amit Maity, Rosemarie Mick, Alexander C Huang, Sangeeth M George, Michael D Farwell, John N Lukens, Abigail T Berman, Tara C Mitchell, Josh Bauml, Lynn M Schuchter, Mark O'Hara, Lilie L Lin, Angela Demichele, John P Christodouleas, Naomi B Haas, Dana M Patsch, Stephen M Hahn, Andy J Minn, E John Wherry, Robert H Vonderheide	1-Nov-2018	44	>=20	2.61	2 to 5	82.2	10.1038/s41416-018-0281-9	P01CA210944
publication	30321299	2019	Carcinogenesis	Differences in microRNA expression in breast cancer between women of African and European ancestry.	Zhihong Gong, Jie Wang, Dan Wang, Matthew F Buas, Xuefeng Ren, Jo L Freudenheim, Steven A Belinsky, Song Liu, Christine B Ambrosone, Michael J Higgins	12-Mar-2019	11	10 to 14	1.1	0.8 to 1.25	53.9	10.1093/carcin/bgy134	U24CA232979
publication	30322870	2019	Blood	Targeted inhibition of PI3Kα/δ is synergistic with BCL-2 blockade in genetically defined subtypes of DLBCL.	Kamil Bojarczuk, Kirsty Wienand, Jeremy A Ryan, Linfeng Chen, Mariana Villalobos-Ortiz, Elisa Mandato, Joanna Stachura, Anthony Letai, Lee N Lawton, Bjoern Chapuy, Margaret A Shipp	3-Jan-2019	40	>=20	3.51	2 to 5	88.4	10.1182/blood-2018-08-872465	R01CA205967
publication	30325853	2018	Pancreas	Intercepting Pancreatic Cancer: Our Dream Team's Resolve to Stop Pancreatic Cancer.	Michael G Goggins, Scott M Lippman, Pamela E Constantinou, Tyler Jacks, Gloria M Petersen, Sapna Syngal, Anirban Maitra	1-Dec-2018	1	<=4	0.07	< 0.2	3.5	10.1097/MPA.0000000000001165	U24CA224020
publication	30333627	2018	Nature	Functional genomic landscape of acute myeloid leukaemia.	Jeffrey W Tyner, Cristina E Tognon, Daniel Bottomly, Beth Wilmot, Stephen E Kurtz, Samantha L Savage, Nicola Long, Anna Reister Schultz, Elie Traer, Melissa Abel, Anupriya Agarwal, Aurora Blucher, Uma Borate, Jade Bryant, Russell Burke, Amy Carlos, Richie Carpenter, Joseph Carroll, Bill H Chang, Cody Coblentz, Amanda d'Almeida, Rachel Cook, Alexey Danilov, Kim-Hien T Dao, Michie Degnin, Deirdre Devine, James Dibb, David K Edwards, Christopher A Eide, Isabel English, Jason Glover, Rachel Henson, Hibery Ho, Abdusebur Jemal, Kara Johnson, Ryan Johnson, Brian Junio, Andy Kaempf, Jessica Leonard, Chenwei Lin, Selina Qiuying Liu, Pierrette Lo, Marc M Loriaux, Samuel Luty, Tara Macey, Jason MacManiman, Jacqueline Martinez, Motomi Mori, Dylan Nelson, Ceilidh Nichols, Jill Peters, Justin Ramsdill, Angela Rofelty, Robert Schuff, Robert Searles, Erik Segerdell, Rebecca L Smith, Stephen E Spurgeon, Tyler Sweeney, Aashis Thapa, Corinne Visser, Jake Wagner, Kevin Watanabe-Smith, Kristen Werth, Joelle Wolf, Libbey White, Amy Yates, Haijiao Zhang, Christopher R Cogle, Robert H Collins, Denise C Connolly, Michael W Deininger, Leylah Drusbosky, Christopher S Hourigan, Craig T Jordan, Patricia Kropf, Tara L Lin, Micaela E Martinez, Bruno C Medeiros, Rachel R Pallapati, Daniel A Pollyea, Ronan T Swords, Justin M Watts, Scott J Weir, David L Wiest, Ryan M Winters, Shannon K McWeeney, Brian J Druker	1-Oct-2018	304	>=20	18.04	> 5	99.4	10.1038/s41586-018-0623-z	U54CA224019
publication	30334351	2018	Small	Microparticle Delivery of Protein Markers for Single-Cell Western Blotting from Microwells.	John J Kim, Peggy P Y Chan, Julea Vlassakis, Alisha Geldert, Amy E Herr	1-Nov-2018	7	5 to 9	0.52	0.5 to 0.8	28.4	10.1002/smll.201802865	R33CA225296
publication	30342302	2019	Virology	Tumor suppressor Interferon Regulatory Factor 1 selectively blocks expression of endogenous retrovirus.	K P Stoltz, C N Jondle, K Pulakanti, P A Sylvester, R Urrutia, S Rao, V L Tarakanova	2-Jan-2019	2	<=4	0.16	< 0.2	7.7	10.1016/j.virol.2018.10.003	R01CA203923
publication	30343949	2019	Surgery	Effective cytoreduction can be achieved in patients with numerous neuroendocrine tumor liver metastases (NETLMs).	Aaron T Scott, Patrick J Breheny, Kendall J Keck, Andrew M Bellizzi, Joseph S Dillon, Thomas M O'Dorisio, James R Howe	1-Jan-2019	26	>=20	3.67	2 to 5	89.2	10.1016/j.surg.2018.04.070	P50CA174521
publication	30344454	2018	Concurr Comput	Cooperative and out-of-core execution of the irregular wavefront propagation pattern on hybrid machines with IntelⓇ Xeon Phi™.	Jeremias Gomes, Alba C M A de Melo, Jun Kong, Tahsin Kurc, Joel H Saltz, George Teodoro	25-Jul-2018	0	<=4	0	< 0.2	0	10.1002/cpe.4425	U24CA180924
publication	30346747	2018	Anal Chem	Controlling Dispersion during Single-Cell Polyacrylamide-Gel Electrophoresis in Open Microfluidic Devices.	Qiong Pan, Kevin A Yamauchi, Amy E Herr	20-Nov-2018	11	10 to 14	1.37	1.25 to 2	62	10.1021/acs.analchem.8b03233	R33CA225296
publication	30346791	2019	J Proteome Res	Global Identification of Post-Translationally Spliced Peptides with Neo-Fusion.	Zach Rolfs, Stefan K Solntsev, Michael R Shortreed, Brian L Frey, Lloyd M Smith	4-Jan-2019	20	>=20	1.72	1.25 to 2	70.1	10.1021/acs.jproteome.8b00651	U24CA199347
publication	30346945	2018	PLoS Biol	Quantitative assessment of cell population diversity in single-cell landscapes.	Qi Liu, Charles A Herring, Quanhu Sheng, Jie Ping, Alan J Simmons, Bob Chen, Amrita Banerjee, Wei Li, Guoqiang Gu, Robert J Coffey, Yu Shyr, Ken S Lau	22-Oct-2018	14	10 to 14	0.76	0.5 to 0.8	40.4	10.1371/journal.pbio.2006687	U2CCA233291
publication	30348809	2018	Cancer Res	A Novel Germline Variant in CSF3R Reduces N-Glycosylation and Exerts Potent Oncogenic Effects in Leukemia.	David R Spiciarich, Stephen T Oh, Amy Foley, Seamus B Hughes, Michael J Mauro, Omar Abdel-Wahab, Richard D Press, Rosa Viner, Sarah L Thompson, Qiushi Chen, Parastoo Azadi, Carolyn R Bertozzi, Julia E Maxson	15-Dec-2018	9	5 to 9	0.75	0.5 to 0.8	40	10.1158/0008-5472.CAN-18-1638	U54CA224019
publication	30349115	2018	Nat Genet	Long noncoding RNA MALAT1 suppresses breast cancer metastasis.	Jongchan Kim, Hai-Long Piao, Beom-Jun Kim, Fan Yao, Zhenbo Han, Yumeng Wang, Zhenna Xiao, Ashley N Siverly, Sarah E Lawhon, Baochau N Ton, Hyemin Lee, Zhicheng Zhou, Boyi Gan, Shinichi Nakagawa, Matthew J Ellis, Han Liang, Mien-Chie Hung, M James You, Yutong Sun, Li Ma	1-Dec-2018	258	>=20	17.74	> 5	99.4	10.1038/s41588-018-0252-3	U24CA209851
publication	30350329	2019	J Magn Reson Imaging	Test-retest repeatability and reproducibility of ADC measures by breast DWI: Results from the ACRIN 6698 trial.	David C Newitt, Zheng Zhang, Jessica E Gibbs, Savannah C Partridge, Thomas L Chenevert, Mark A Rosen, Patrick J Bolan, Helga S Marques, Sheye Aliu, Wen Li, Lisa Cimino, Bonnie N Joe, Heidi Umphrey, Haydee Ojeda-Fournier, Basak Dogan, Karen Oh, Hiroyuki Abe, Jennifer Drukteinis, Laura J Esserman, Nola M Hylton	1-Jun-2019	28	>=20	5	> 5	93.4	10.1002/jmri.26539	U24CA180803
publication	30352903	2018	Clin Cancer Res	Targeting Resistance to Targeted Therapies: Combating a Resilient Foe.	Siddhartha Devarakonda, Ramaswamy Govindan	15-Dec-2018	3	<=4	0.19	< 0.2	9.7	10.1158/1078-0432.CCR-18-3178	U54CA224083
publication	30353882	2018	Int J Radiat Oncol Biol Phys	The Importance of Imaging in Radiation Oncology for National Clinical Trials Network Protocols.	Thomas J FitzGerald, Maryann Bishop-Jodoin, Fran Laurie, Elizabeth O'Meara, Christine Davis, Jeffrey Bogart, John Kalapurakal, Marilyn J Siegel, Bapsi Chakravarthy, Paul Okunieff, Bruce Haffty, Jeff Michalski, Kenneth Ulin, David S Followill, Stephen Kry, Michael Knopp, Jun Zhang, Don Rosen, Mark Rosen, Ying Xiao, Lawrence Schwartz, Janaki Moni, Maria Giulia Cicchetti	15-Nov-2018	0	<=4	0	< 0.2	0	10.1016/j.ijrobp.2018.08.039	U24CA180803
publication	30355580	2018	Blood Adv	Myeloma MRD by deep sequencing from circulating tumor DNA does not correlate with results obtained in the bone marrow.	Céline Mazzotti, Laure Buisson, Sabrina Maheo, Aurore Perrot, Marie-Lorraine Chretien, Xavier Leleu, Cyrille Hulin, Salomon Manier, Benjamin Hébraud, Murielle Roussel, Laura Do Souto, Michel Attal, Hervé Avet-Loiseau, Jill Corre	13-Nov-2018	35	>=20	2.62	2 to 5	82.3	10.1182/bloodadvances.2018025197	P01CA155258
publication	30356138	2019	Nat Rev Clin Oncol	State-of-the-art strategies for targeting the DNA damage response in cancer.	Patrick G Pilié, Chad Tang, Gordon B Mills, Timothy A Yap	1-Feb-2019	297	>=20	26.94	> 5	99.7	10.1038/s41571-018-0114-z	P50CA098258
