type	publication_id	pmc_id	year	journal	title	authors	publish_date	citation_count	relative_citation_ratio	rcr_range	nih_percentile	doi	project.project_id
publication	32497499	PMC7321885	2020	Cell	Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer.	"David Y Oh, Serena S Kwek, Siddharth S Raju, Tony Li, Elizabeth McCarthy, Eric Chow, Dvir Aran, Arielle Ilano, Chien-Chun Steven Pai, Chiara Rancan, Kathryn Allaire, Arun Burra, Yang Sun, Matthew H Spitzer, Serghei Mangul, Sima Porten, Maxwell V Meng, Terence W Friedlander, Chun Jimmie Ye, Lawrence Fong"		73	14.14	> 5		10.1016/j.cell.2020.05.017	1U01CA233100-01
publication	32497499	PMC7321885	2020	Cell	Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer.	"David Y Oh, Serena S Kwek, Siddharth S Raju, Tony Li, Elizabeth McCarthy, Eric Chow, Dvir Aran, Arielle Ilano, Chien-Chun Steven Pai, Chiara Rancan, Kathryn Allaire, Arun Burra, Yang Sun, Matthew H Spitzer, Serghei Mangul, Sima Porten, Maxwell V Meng, Terence W Friedlander, Chun Jimmie Ye, Lawrence Fong"		73	14.14	> 5		10.1016/j.cell.2020.05.017	1U01CA244452-01
publication	32299917	PMC7347108	2020	Science	Mechanisms generating cancer genome complexity from a single cell division error.	"Neil T Umbreit, Cheng-Zhong Zhang, Luke D Lynch, Logan J Blaine, Anna M Cheng, Richard Tourdot, Lili Sun, Hannah F Almubarak, Kim Judge, Thomas J Mitchell, Alexander Spektor, David Pellman"		78	15.74	> 5		10.1126/science.aba0712	1R33CA225344-01
publication	30833748	PMC6452642	2019	Nat Med	Protective autophagy elicited by RAF→MEK→ERK inhibition suggests a treatment strategy for RAS-driven cancers.	"Conan G Kinsey, Soledad A Camolotto, Amelie M Boespflug, Katrin P Guillen, Mona Foth, Amanda Truong, Sophia S Schuman, Jill E Shea, Michael T Seipp, Jeffrey T Yap, Lance D Burrell, David H Lum, Jonathan R Whisenant, G Weldon Gilcrease, Courtney C Cavalieri, Kaitrin M Rehbein, Stephanie L Cutler, Kajsa E Affolter, Alana L Welm, Bryan E Welm, Courtney L Scaife, Eric L Snyder, Martin McMahon"		193	18.9	> 5	99.4	10.1038/s41591-019-0367-9	3U54CA224076-01S2
publication	32341560	PMC7289686	2020	Nat Biotechnol	Systematic comparison of single-cell and single-nucleus RNA-sequencing methods.	"Jiarui Ding, Xian Adiconis, Sean K Simmons, Monika S Kowalczyk, Cynthia C Hession, Nemanja D Marjanovic, Travis K Hughes, Marc H Wadsworth, Tyler Burks, Lan T Nguyen, John Y H Kwon, Boaz Barak, William Ge, Amanda J Kedaigle, Shaina Carroll, Shuqiang Li, Nir Hacohen, Orit Rozenblatt-Rosen, Alex K Shalek, Alexandra-Chloé Villani, Aviv Regev, Joshua Z Levin"		102	20.6	> 5		10.1038/s41587-020-0465-8	1U2CCA233195-01
publication	30127393	PMC6487502	2018	Nat Med	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response.	"Peng Jiang, Shengqing Gu, Deng Pan, Jingxin Fu, Avinash Sahu, Xihao Hu, Ziyi Li, Nicole Traugh, Xia Bu, Bo Li, Jun Liu, Gordon J Freeman, Myles A Brown, Kai W Wucherpfennig, X Shirley Liu"		381	24.54	> 5	99.7	10.1038/s41591-018-0136-1	1U24CA224316-01
publication	32025015	PMC7054214	2020	Nature	"Analyses of non-coding somatic drivers in 2,658 cancer whole genomes."	"Esther Rheinbay, Morten Muhlig Nielsen, Federico Abascal, Jeremiah A Wala, Ofer Shapira, Grace Tiao, Henrik Hornshøj, Julian M Hess, Randi Istrup Juul, Ziao Lin, Lars Feuerbach, Radhakrishnan Sabarinathan, Tobias Madsen, Jaegil Kim, Loris Mularoni, Shimin Shuai, Andrés Lanzós, Carl Herrmann, Yosef E Maruvka, Ciyue Shen, Samirkumar B Amin, Pratiti Bandopadhayay, Johanna Bertl, Keith A Boroevich, John Busanovich, Joana Carlevaro-Fita, Dimple Chakravarty, Calvin Wing Yiu Chan, David Craft, Priyanka Dhingra, Klev Diamanti, Nuno A Fonseca, Abel Gonzalez-Perez, Qianyun Guo, Mark P Hamilton, Nicholas J Haradhvala, Chen Hong, Keren Isaev, Todd A Johnson, Malene Juul, Andre Kahles, Abdullah Kahraman, Youngwook Kim, Jan Komorowski, Kiran Kumar, Sushant Kumar, Donghoon Lee, Kjong-Van Lehmann, Yilong Li, Eric Minwei Liu, Lucas Lochovsky, Keunchil Park, Oriol Pich, Nicola D Roberts, Gordon Saksena, Steven E Schumacher, Nikos Sidiropoulos, Lina Sieverling, Nasa Sinnott-Armstrong, Chip Stewart, David Tamborero, Jose M C Tubio, Husen M Umer, Liis Uusküla-Reimand, Claes Wadelius, Lina Wadi, Xiaotong Yao, Cheng-Zhong Zhang, Jing Zhang, James E Haber, Asger Hobolth, Marcin Imielinski, Manolis Kellis, Michael S Lawrence, Christian von Mering, Hidewaki Nakagawa, Benjamin J Raphael, Mark A Rubin, Chris Sander, Lincoln D Stein, Joshua M Stuart, Tatsuhiko Tsunoda, David A Wheeler, Rory Johnson, Jüri Reimand, Mark Gerstein, Ekta Khurana, Peter J Campbell, Núria López-Bigas, Joachim Weischenfeldt, Rameen Beroukhim, Iñigo Martincorena, Jakob Skou Pedersen, Gad Getz"		129	25.24	> 5		10.1038/s41586-020-1965-x	3U24CA210999-02S1
publication	32795414	PMC7522766	2020	Cell	Extracellular Vesicle and Particle Biomarkers Define Multiple Human Cancers.	"Ayuko Hoshino, Han Sang Kim, Linda Bojmar, Kofi Ennu Gyan, Michele Cioffi, Jonathan Hernandez, Constantinos P Zambirinis, Gonçalo Rodrigues, Henrik Molina, Søren Heissel, Milica Tesic Mark, Loïc Steiner, Alberto Benito-Martin, Serena Lucotti, Angela Di Giannatale, Katharine Offer, Miho Nakajima, Caitlin Williams, Laura Nogués, Fanny A Pelissier Vatter, Ayako Hashimoto, Alexander E Davies, Daniela Freitas, Candia M Kenific, Yonathan Ararso, Weston Buehring, Pernille Lauritzen, Yusuke Ogitani, Kei Sugiura, Naoko Takahashi, Maša Alečković, Kayleen A Bailey, Joshua S Jolissant, Huajuan Wang, Ashton Harris, L Miles Schaeffer, Guillermo García-Santos, Zoe Posner, Vinod P Balachandran, Yasmin Khakoo, G Praveen Raju, Avigdor Scherz, Irit Sagi, Ruth Scherz-Shouval, Yosef Yarden, Moshe Oren, Mahathi Malladi, Mary Petriccione, Kevin C De Braganca, Maria Donzelli, Cheryl Fischer, Stephanie Vitolano, Geraldine P Wright, Lee Ganshaw, Mariel Marrano, Amina Ahmed, Joe DeStefano, Enrico Danzer, Michael H A Roehrl, Norman J Lacayo, Theresa C Vincent, Martin R Weiser, Mary S Brady, Paul A Meyers, Leonard H Wexler, Srikanth R Ambati, Alexander J Chou, Emily K Slotkin, Shakeel Modak, Stephen S Roberts, Ellen M Basu, Daniel Diolaiti, Benjamin A Krantz, Fatima Cardoso, Amber L Simpson, Michael Berger, Charles M Rudin, Diane M Simeone, Maneesh Jain, Cyrus M Ghajar, Surinder K Batra, Ben Z Stanger, Jack Bui, Kristy A Brown, Vinagolu K Rajasekhar, John H Healey, Maria de Sousa, Kim Kramer, Sujit Sheth, Jeanine Baisch, Virginia Pascual, Todd E Heaton, Michael P La Quaglia, David J Pisapia, Robert Schwartz, Haiying Zhang, Yuan Liu, Arti Shukla, Laurence Blavier, Yves A DeClerck, Mark LaBarge, Mina J Bissell, Thomas C Caffrey, Paul M Grandgenett, Michael A Hollingsworth, Jacqueline Bromberg, Bruno Costa-Silva, Hector Peinado, Yibin Kang, Benjamin A Garcia, Eileen M O'Reilly, David Kelsen, Tanya M Trippett, David R Jones, Irina R Matei, William R Jarnagin, David Lyden"		108	26.38	> 5		10.1016/j.cell.2020.07.009	1U01CA224175-01
publication	32361713	PMC7883632	2020	Nat Biotechnol	Human chimeric antigen receptor macrophages for cancer immunotherapy.	"Michael Klichinsky, Marco Ruella, Olga Shestova, Xueqing Maggie Lu, Andrew Best, Martha Zeeman, Maggie Schmierer, Konrad Gabrusiewicz, Nicholas R Anderson, Nicholas E Petty, Katherine D Cummins, Feng Shen, Xinhe Shan, Kimberly Veliz, Kristin Blouch, Yumi Yashiro-Ohtani, Saad S Kenderian, Miriam Y Kim, Roddy S O'Connor, Stephen R Wallace, Miroslaw S Kozlowski, Dylan M Marchione, Maksim Shestov, Benjamin A Garcia, Carl H June, Saar Gill"		139	32.07	> 5		10.1038/s41587-020-0462-y	1R01CA226983-01
publication	32991843	PMC7489877	2020	Cell	Mapping Systemic Inflammation and Antibody Responses in Multisystem Inflammatory Syndrome in Children (MIS-C).	"Conor N Gruber, Roosheel S Patel, Rebecca Trachtman, Lauren Lepow, Fatima Amanat, Florian Krammer, Karen M Wilson, Kenan Onel, Daniel Geanon, Kevin Tuballes, Manishkumar Patel, Konstantinos Mouskas, Timothy O'Donnell, Elliot Merritt, Nicole W Simons, Vanessa Barcessat, Diane M Del Valle, Samantha Udondem, Gurpawan Kang, Sandeep Gangadharan, George Ofori-Amanfo, Uri Laserson, Adeeb Rahman, Seunghee Kim-Schulze, Alexander W Charney, Sacha Gnjatic, Bruce D Gelb, Miriam Merad, Dusan Bogunovic"		123	33.56	> 5		10.1016/j.cell.2020.09.034	1U24CA224319-01
publication	32991843	PMC7489877	2020	Cell	Mapping Systemic Inflammation and Antibody Responses in Multisystem Inflammatory Syndrome in Children (MIS-C).	"Conor N Gruber, Roosheel S Patel, Rebecca Trachtman, Lauren Lepow, Fatima Amanat, Florian Krammer, Karen M Wilson, Kenan Onel, Daniel Geanon, Kevin Tuballes, Manishkumar Patel, Konstantinos Mouskas, Timothy O'Donnell, Elliot Merritt, Nicole W Simons, Vanessa Barcessat, Diane M Del Valle, Samantha Udondem, Gurpawan Kang, Sandeep Gangadharan, George Ofori-Amanfo, Uri Laserson, Adeeb Rahman, Seunghee Kim-Schulze, Alexander W Charney, Sacha Gnjatic, Bruce D Gelb, Miriam Merad, Dusan Bogunovic"		123	33.56	> 5		10.1016/j.cell.2020.09.034	1U01DK124165-01
publication	31980749	PMC7046529	2020	Nat Rev Cancer	A framework for advancing our understanding of cancer-associated fibroblasts.	"Erik Sahai, Igor Astsaturov, Edna Cukierman, David G DeNardo, Mikala Egeblad, Ronald M Evans, Douglas Fearon, Florian R Greten, Sunil R Hingorani, Tony Hunter, Richard O Hynes, Rakesh K Jain, Tobias Janowitz, Claus Jorgensen, Alec C Kimmelman, Mikhail G Kolonin, Robert G Maki, R Scott Powers, Ellen Puré, Daniel C Ramirez, Ruth Scherz-Shouval, Mara H Sherman, Sheila Stewart, Thea D Tlsty, David A Tuveson, Fiona M Watt, Valerie Weaver, Ashani T Weeraratna, Zena Werb"		395	94.32	> 5		10.1038/s41568-019-0238-1	1U01CA224193-01
publication	31980749	PMC7046529	2020	Nat Rev Cancer	A framework for advancing our understanding of cancer-associated fibroblasts.	"Erik Sahai, Igor Astsaturov, Edna Cukierman, David G DeNardo, Mikala Egeblad, Ronald M Evans, Douglas Fearon, Florian R Greten, Sunil R Hingorani, Tony Hunter, Richard O Hynes, Rakesh K Jain, Tobias Janowitz, Claus Jorgensen, Alec C Kimmelman, Mikhail G Kolonin, Robert G Maki, R Scott Powers, Ellen Puré, Daniel C Ramirez, Ruth Scherz-Shouval, Mara H Sherman, Sheila Stewart, Thea D Tlsty, David A Tuveson, Fiona M Watt, Valerie Weaver, Ashani T Weeraratna, Zena Werb"		395	94.32	> 5		10.1038/s41568-019-0238-1	1U01CA224348-01
publication	32025018	PMC7054213	2020	Nature	The repertoire of mutational signatures in human cancer.	"Ludmil B Alexandrov, Jaegil Kim, Nicholas J Haradhvala, Mi Ni Huang, Alvin Wei Tian Ng, Yang Wu, Arnoud Boot, Kyle R Covington, Dmitry A Gordenin, Erik N Bergstrom, S M Ashiqul Islam, Nuria Lopez-Bigas, Leszek J Klimczak, John R McPherson, Sandro Morganella, Radhakrishnan Sabarinathan, David A Wheeler, Ville Mustonen, Gad Getz, Steven G Rozen, Michael R Stratton"		443	97.45	> 5		10.1038/s41586-020-1943-3	3U24CA210999-02S1
publication	32025007	PMC7025898	2020	Nature	Pan-cancer analysis of whole genomes.			461	99.5	> 5		10.1038/s41586-020-1969-6	3U24CA210999-02S1
publication	32839624	PMC7869028	2020	Nat Med	An inflammatory cytokine signature predicts COVID-19 severity and survival.	"Diane Marie Del Valle, Seunghee Kim-Schulze, Hsin-Hui Huang, Noam D Beckmann, Sharon Nirenberg, Bo Wang, Yonit Lavin, Talia H Swartz, Deepu Madduri, Aryeh Stock, Thomas U Marron, Hui Xie, Manishkumar Patel, Kevin Tuballes, Oliver Van Oekelen, Adeeb Rahman, Patricia Kovatch, Judith A Aberg, Eric Schadt, Sundar Jagannath, Madhu Mazumdar, Alexander W Charney, Adolfo Firpo-Betancourt, Damodara Rao Mendu, Jeffrey Jhang, David Reich, Keith Sigel, Carlos Cordon-Cardo, Marc Feldmann, Samir Parekh, Miriam Merad, Sacha Gnjatic"		414	105.11	> 5		10.1038/s41591-020-1051-9	1U24CA224319-01
publication	32839624	PMC7869028	2020	Nat Med	An inflammatory cytokine signature predicts COVID-19 severity and survival.	"Diane Marie Del Valle, Seunghee Kim-Schulze, Hsin-Hui Huang, Noam D Beckmann, Sharon Nirenberg, Bo Wang, Yonit Lavin, Talia H Swartz, Deepu Madduri, Aryeh Stock, Thomas U Marron, Hui Xie, Manishkumar Patel, Kevin Tuballes, Oliver Van Oekelen, Adeeb Rahman, Patricia Kovatch, Judith A Aberg, Eric Schadt, Sundar Jagannath, Madhu Mazumdar, Alexander W Charney, Adolfo Firpo-Betancourt, Damodara Rao Mendu, Jeffrey Jhang, David Reich, Keith Sigel, Carlos Cordon-Cardo, Marc Feldmann, Samir Parekh, Miriam Merad, Sacha Gnjatic"		414	105.11	> 5		10.1038/s41591-020-1051-9	1U01DK124165-01
publication	31478845	PMC7241306	2020	IEEE Trans Med Imaging	Spatial Auto-Regressive Analysis of Correlation in 3-D PET With Application to Model-Based Simulation of Data.	"Jian Huang, Tian Mou, Kevin O'Regan, Finbarr O'Sullivan"		2		N/A		10.1109/TMI.2019.2938411	1R33CA225310-01
publication	31527151	PMC6942216	2020	Mol Cancer Res	Treating Cancer as an Invasive Species.	"Javad Noorbakhsh, Zi-Ming Zhao, James C Russell, Jeffrey H Chuang"		0		N/A		10.1158/1541-7786.MCR-19-0262	1U24CA224067-01
publication	31549315	PMC6925621	2020	Ann Surg Oncol	ASO Author Reflections: Using Patient-Reported Outcomes to Optimize Care of the Surgical Oncology Patient.	"Joseph D Phillips, Sandra L Wong"		3		N/A		10.1245/s10434-019-07863-1	1UM1CA233080-01
publication	31605556	PMC6982604	2020	Magn Reson Med	"Impact of (k,t) sampling on DCE MRI tracer kinetic parameter estimation in digital reference objects."	"Yannick Bliesener, Sajan G Lingala, Justin P Haldar, Krishna S Nayak"		2		N/A		10.1002/mrm.28024	1R33CA225400-01
publication	31663134	PMC6980286	2020	Med Phys	Tracer kinetic models as temporal constraints during brain tumor DCE-MRI reconstruction.	"Sajan Goud Lingala, Yi Guo, Yannick Bliesener, Yinghua Zhu, R Marc Lebel, Meng Law, Krishna S Nayak"		2		N/A		10.1002/mp.13885	1R33CA225400-01
publication	31722972	PMC7041713	2020	J Exp Med	Mevalonate metabolism-dependent protein geranylgeranylation regulates thymocyte egress.	"Xingrong Du, Hu Zeng, Shaofeng Liu, Cliff Guy, Yogesh Dhungana, Geoffrey Neale, Martin O Bergo, Hongbo Chi"		4		N/A		10.1084/jem.20190969	5R01CA221290-02
publication	31741111	PMC7231622	2020	Ann Surg Oncol	ASO Author Reflections: Patient-Reported Outcomes-Bench to Bedside.	"Srinivas Joga Ivatury, Sandra L Wong, Deborah Schrag"		0		N/A		10.1245/s10434-019-07920-9	1UM1CA233080-01
publication	31792531	PMC7032622	2020	Neuro Oncol	Conversations on mutism: risk stratification for cerebellar mutism based on medulloblastoma subtype.	"Jeffrey B Russ, William A Weiss"		0		N/A		10.1093/neuonc/noz228	1U54CA243125-01
publication	31794389		2020	IEEE Trans Med Imaging	Efficient DCE-MRI Parameter and Uncertainty Estimation Using a Neural Network.	"Yannick Bliesener, Jay Acharya, Krishna S Nayak"		1		N/A		10.1109/TMI.2019.2953901	1R33CA225400-01
publication	31797715		2020	Per Med	Implementing universal cancer screening programs can help sustain genomic medicine programs.	"Alanna Kulchak Rahm, Cecelia Bellcross, Deborah Cragun, Debra Duquette, Heather Hampel, Brandie Heald"		0		N/A		10.2217/pme-2019-0126	1R01CA211723-01A1
publication	31900729	PMC7174520	2020	J Gen Intern Med	Health Technology Assessment Centers-an Infrastructure for Health Systems to Translate Evidence into Practice.	"Ravi N Sharaf, Dhruv Khullar, Craig A Umscheid"		0		N/A		10.1007/s11606-019-05534-1	1R01CA211723-01A1
publication	31937831	PMC6959290	2020	Sci Rep	CD8 infiltration is associated with disease control and tobacco exposure in intermediate-risk oropharyngeal cancer.	"J O Kemnade, H Elhalawani, P Castro, J Yu, S Lai, M Ittmann, A S R Mohamed, S Y Lai, C D Fuller, A G Sikora, V C Sandulache"		3		N/A		10.1038/s41598-019-57111-5	1U01DE028233-01
publication	31948569	PMC7021207	2020	Methods Enzymol	Functional characterization of tumor antigen-specific T-cells isolated from the tumor microenvironment of sleeping beauty induced murine glioma models.	"Mahmoud S Alghamri, Felipe J Núñez, Neha Kamran, Stephen Carney, David Altshuler, Pedro R Lowenstein, Maria G Castro"		0		N/A		10.1016/bs.mie.2019.05.032	1U01CA224160-01
publication	31959027	PMC7059118	2020	Expert Opin Biol Ther	Prospects of biological and synthetic pharmacotherapies for glioblastoma.	"David B Altshuler, Padma Kadiyala, Felipe J Nuñez, Fernando M Nuñez, Stephen Carney, Mahmoud S Alghamri, Maria B Garcia-Fabiani, Antonela S Asad, Alejandro J Nicola Candia, Marianela Candolfi, Joerg Lahann, James J Moon, Anna Schwendeman, Pedro R Lowenstein, Maria G Castro"		4		N/A		10.1080/14712598.2020.1713085	1U01CA224160-01
publication	31985208	PMC7861876	2020	Anal Chem	Laterally Aggregated Polyacrylamide Gels for Immunoprobed Isoelectric Focusing.	"Shaheen Jeeawoody, Kevin A Yamauchi, Alison Su, Amy E Herr"		3		N/A		10.1021/acs.analchem.9b04913	1R33CA225296-01
publication	32000897	PMC7038868	2020	Methods Enzymol	Functional assay to assess T-cell inhibitory properties of myeloid derived suppressor cells (MDSCs) isolated from the tumor microenvironment of murine glioma models.	"Mahmoud S Alghamri, Neha Kamran, Padma Kadiyala, Pedro Ricardo Lowenstein, Maria Graciela Castro"		2		N/A		10.1016/bs.mie.2019.05.047	1U01CA224160-01
publication	32000905	PMC7047649	2020	Methods Enzymol	Isolation and characterization of immune cells from the tumor microenvironment of genetically engineered pediatric high-grade glioma models using the sleeping beauty transposon system.	"Maria Belen Garcia-Fabiani, Andrea Comba, Padma Kadiyala, Santiago Haase, Felipe Javier Núñez, David Altshuler, Pedro Ricardo Lowenstein, Maria Graciela Castro"		2		N/A		10.1016/bs.mie.2019.05.023	1U01CA224160-01
publication	32032940	PMC7084289	2020	JMIR Form Res	Developing SMS Content to Promote Papanicolaou Triage Among Women Who Performed HPV Self-collection Test: Qualitative Study.	"Victoria Sanchez Antelo, Racquel E Kohler, Mariana Curotto, Kasisomayajula Vish Viswanath, Melisa Paolino, Silvina Arrossi"		3		N/A		10.2196/14652	1R01CA218306-01
publication	32051576		2020	Nat Biomed Eng	Filmed over with CAR-T cells.	"Kwasi Adu-Berchie, David J Mooney"		1		N/A		10.1038/s41551-020-0517-x	1U54CA244726-01
publication	32060102	PMC7269826	2020	Clin Cancer Res	Translating Basic Science Discoveries into Improved Outcomes for Glioblastoma.	"Peter B Dirks, Mark R Gilbert, Eric C Holland, Elizabeth A Maher, William A Weiss"		3		N/A		10.1158/1078-0432.CCR-19-3924	1U54CA243125-01
publication	32078353	PMC7067111	2020	Am J Public Health	"Outreach and Inreach Strategies for Colorectal Cancer Screening Among Latinos at a Federally Qualified Health Center: A Randomized Controlled Trial, 2015-2018."	"Sheila F Castañeda, Balambal Bharti, Marielena Rojas, Silvia Mercado, Adriana M Bearse, Jasmine Camacho, Manuel Song Lopez, Fatima Muñoz, Shawne O'Connell, Lin Liu, Gregory A Talavera, Samir Gupta"		3		N/A		10.2105/AJPH.2019.305524	1UG3CA233314-01A1
publication	32078691	PMC7032633	2020	Neuro Oncol	Epigenetic reprogramming and chromatin accessibility in pediatric diffuse intrinsic pontine gliomas: a neural developmental disease.	"Flor M Mendez, Felipe J Núñez, Maria B Garcia-Fabiani, Santiago Haase, Stephen Carney, Jessica C Gauss, Oren J Becher, Pedro R Lowenstein, Maria G Castro"		2		N/A		10.1093/neuonc/noz218	1U01CA224160-01
publication	32127393	PMC7367708	2020	Clin Cancer Res	Dissecting the Tumor-Immune Landscape in Chimeric Antigen Receptor T-cell Therapy: Key Challenges and Opportunities for a Systems Immunology Approach.	"Gregory M Chen, Andrew Azzam, Yang-Yang Ding, David M Barrett, Stephan A Grupp, Kai Tan"		4		N/A		10.1158/1078-0432.CCR-19-3888	1U01CA232361-01A1
publication	32159997	PMC7067109	2020	Am J Public Health	Who Is Reached With Clinic In-Reach and Outreach Strategies to Promote Colorectal Cancer Screening?	Gloria D Coronado		0		N/A		10.2105/AJPH.2020.305593	1UG3CA233314-01A1
publication	32159997	PMC7067109	2020	Am J Public Health	Who Is Reached With Clinic In-Reach and Outreach Strategies to Promote Colorectal Cancer Screening?	Gloria D Coronado		0		N/A		10.2105/AJPH.2020.305593	1UG3CA244298-01
publication	32169821	PMC7066224	2020	iScience	Loss of H3K36 Methyltransferase SETD2 Impairs V(D)J Recombination during Lymphoid Development.	"S Haihua Chu, Jonathan R Chabon, Chloe N Matovina, Janna C Minehart, Bo-Ruei Chen, Jian Zhang, Vipul Kumar, Yijun Xiong, Elsa Callen, Putzer J Hung, Zhaohui Feng, Richard P Koche, X Shirley Liu, Jayanta Chaudhuri, Andre Nussenzweig, Barry P Sleckman, Scott A Armstrong"		2		N/A		10.1016/j.isci.2020.100941	5R01CA176745-09
publication	32191543	PMC7113080	2020	JCO Clin Cancer Inform	CIViCpy: A Python Software Development and Analysis Toolkit for the CIViC Knowledgebase.	"Alex H Wagner, Susanna Kiwala, Adam C Coffman, Joshua F McMichael, Kelsy C Cotto, Thomas B Mooney, Erica K Barnell, Kilannin Krysiak, Arpad M Danos, Jason Walker, Obi L Griffith, Malachi Griffith"		2		N/A		10.1200/CCI.19.00127	3U24CA237719-02S1
publication	32236523	PMC7102281	2020	Gigascience	Multi-omics Visualization Platform: An extensible Galaxy plug-in for multi-omics data visualization and exploration.	"Thomas McGowan, James E Johnson, Praveen Kumar, Ray Sajulga, Subina Mehta, Pratik D Jagtap, Timothy J Griffin"		4		N/A		10.1093/gigascience/giaa025	1UG3CA244687-01
publication	32241771	PMC7144652	2020	AJNR Am J Neuroradiol	"Advanced ADC Histogram, Perfusion, and Permeability Metrics Show an Association with Survival and Pseudoprogression in Newly Diagnosed Diffuse Intrinsic Pontine Glioma: A Report from the Pediatric Brain Tumor Consortium."	"S Vajapeyam, D Brown, C Billups, Z Patay, G Vezina, M S Shiroishi, M Law, P Baxter, A Onar-Thomas, J R Fangusaro, I J Dunkel, T Y Poussaint"		3		N/A		10.3174/ajnr.A6499	2UM1CA081457-21
publication	32290096	PMC7177647	2020	Int J Mol Sci	Underlying Ossification Phenotype in a Murine Model of Metastatic Synovial Sarcoma.	"Matthew Kirkham, Austen Kalivas, Kaniz Fatema, Sarah Luelling, Brooke H Dubansky, Benjamin Dubansky, Kevin B Jones, Jared J Barrott"		1		N/A		10.3390/ijms21072636	1U54CA231652-01
publication	32294251	PMC7340351	2020	Cancer	The Affordable Care Act improved health insurance coverage and cardiovascular-related screening rates for cancer survivors seen in community health centers.	"Heather E Angier, Miguel Marino, Rachel J Springer, Teresa D Schmidt, Nathalie Huguet, Jennifer E DeVoe"		4		N/A		10.1002/cncr.32900	1P50CA244289-01
publication	32321829	PMC7211963	2020	Proc Natl Acad Sci U S A	Landscape analysis of adjacent gene rearrangements reveals BCL2L14-ETV6 gene fusions in more aggressive triple-negative breast cancer.	"Sanghoon Lee, Yiheng Hu, Suet Kee Loo, Ying Tan, Rohit Bhargava, Michael T Lewis, Xiao-Song Wang"		3		N/A		10.1073/pnas.1921333117	3U54CA224076-01S2
publication	32333215		2020	Clin Exp Med	Clinical practice: chimeric antigen receptor (CAR) T cells: a major breakthrough in the battle against cancer.	"Stefan Lundh, In-Young Jung, Alexander Dimitri, Anish Vora, J Joseph Melenhorst, Julie K Jadlowsky, Joseph A Fraietta"		4		N/A		10.1007/s10238-020-00628-1	1U54CA244711-01
publication	32338655	PMC7253033	2020	J Vis Exp	"Laser Capture Microdissection of Glioma Subregions for Spatial and Molecular Characterization of Intratumoral Heterogeneity, Oncostreams, and Invasion."	"Andrea Comba, Patrick J Dunn, Phillip E Kish, Padma Kadiyala, Alon Kahana, Maria G Castro, Pedro R Lowenstein"		3		N/A		10.3791/60939	1U01CA224160-01
publication	32347219	PMC7336862	2020	Analyst	Ferguson analysis of protein electromigration during single-cell electrophoresis in an open microfluidic device.	"Kristine Y Tan, Amy E Herr"		3		N/A		10.1039/c9an02553g	1R33CA225296-01
publication	32369697	PMC8273930	2020	ACS Chem Biol	Chemical Inhibitors of a Selective SWI/SNF Function Synergize with ATR Inhibition in Cancer Cell Killing.	"Emma J Chory, Jacob G Kirkland, Chiung-Ying Chang, Vincent D D'Andrea, Sai Gourisankar, Emily C Dykhuizen, Gerald R Crabtree"		1		N/A		10.1021/acschembio.0c00312	3R01CA163915-07S1
publication	32374631	PMC7265783	2020	JCO Clin Cancer Inform	Personalized Network Modeling of the Pan-Cancer Patient and Cell Line Interactome.	"Rupam Bhattacharyya, Min Jin Ha, Qingzhi Liu, Rehan Akbani, Han Liang, Veerabhadran Baladandayuthapani"		3		N/A		10.1200/CCI.19.00140	3U54CA224065-01S1
publication	32375029	PMC7305633	2020	Cell Rep	A Quantitative Framework for Evaluating Single-Cell Data Structure Preservation by Dimensionality Reduction Techniques.	"Cody N Heiser, Ken S Lau"		4		N/A		10.1016/j.celrep.2020.107576	1U2CCA233291-01
publication	32379821	PMC7244185	2020	PLoS Comput Biol	Self-organization in brain tumors: How cell morphology and cell density influence glioma pattern formation.	"Sara Jamous, Andrea Comba, Pedro R Lowenstein, Sebastien Motsch"		3		N/A		10.1371/journal.pcbi.1007611	1U01CA224160-01
publication	32393285	PMC7216589	2020	Implement Sci	Mentored training and its association with dissemination and implementation research output: a quasi-experimental evaluation.	"Rebekah R Jacob, Angeline Gacad, Margaret Padek, Graham A Colditz, Karen M Emmons, Jon F Kerner, David A Chambers, Ross C Brownson"		4		N/A		10.1186/s13012-020-00994-0	1P50CA244431-01
publication	32393285	PMC7216589	2020	Implement Sci	Mentored training and its association with dissemination and implementation research output: a quasi-experimental evaluation.	"Rebekah R Jacob, Angeline Gacad, Margaret Padek, Graham A Colditz, Karen M Emmons, Jon F Kerner, David A Chambers, Ross C Brownson"		4		N/A		10.1186/s13012-020-00994-0	1P50CA244433-01
publication	32393959	PMC7690365	2020	Neuro Oncol	Phase II study of peginterferon alpha-2b for patients with unresectable or recurrent craniopharyngiomas: a Pediatric Brain Tumor Consortium report.	"Stewart Goldman, Ian F Pollack, Regina I Jakacki, Catherine A Billups, Tina Y Poussaint, Adekunle M Adesina, Ashok Panigrahy, Donald W Parsons, Alberto Broniscer, Giles W Robinson, Nathan J Robison, Sonia Partap, Lindsay B Kilburn, Arzu Onar-Thomas, Ira J Dunkel, Maryam Fouladi"		0		N/A		10.1093/neuonc/noaa119	2UM1CA081457-21
